record,label,rep_index,start_s,end_s,duration_s,peak_s,peak_env,mean_env,status,reason,segment_file
1-10_preprocessed,1,1,4.4755,7.234,2.7585,5.19,0.702428933184322,0.434540325687398,valid,valid_complete_cycle,segmented_records/1-10_preprocessed/1-10_preprocessed_rep01.csv
1-10_preprocessed,1,2,9.9185,12.6285,2.71,11.2815,1.25563459914051,0.627474730296871,valid,valid_complete_cycle,segmented_records/1-10_preprocessed/1-10_preprocessed_rep02.csv
1-10_preprocessed,1,3,14.984,17.49,2.506,16.393,1.3803417389997,0.69727698032508,valid,valid_complete_cycle,segmented_records/1-10_preprocessed/1-10_preprocessed_rep03.csv
1-10_preprocessed,1,4,19.4655,22.3525,2.887,20.761,1.42985358112771,0.701930690836257,valid,valid_complete_cycle,segmented_records/1-10_preprocessed/1-10_preprocessed_rep04.csv
1-10_preprocessed,1,5,23.7095,26.9165,3.207,25.7285,1.49988770222952,0.675551209062858,valid,valid_complete_cycle,segmented_records/1-10_preprocessed/1-10_preprocessed_rep05.csv
1-10_preprocessed,1,6,28.3,29.3745,1.0745,28.312,0.565080294063721,0.327159856200801,rejected,boundary_not_returned_to_quiet,
1-11_preprocessed,1,1,5.1735,6.804,1.6305,6.2655,1.02952529115146,0.620926660122229,valid,valid_complete_cycle,segmented_records/1-11_preprocessed/1-11_preprocessed_rep01.csv
1-11_preprocessed,1,2,10.2355,12.8885,2.653,11.1455,1.00968746084586,0.623234226489442,valid,valid_complete_cycle,segmented_records/1-11_preprocessed/1-11_preprocessed_rep02.csv
1-11_preprocessed,1,3,15.206,17.0555,1.8495,16.1425,1.22830317869082,0.716307552118592,valid,valid_complete_cycle,segmented_records/1-11_preprocessed/1-11_preprocessed_rep03.csv
1-11_preprocessed,1,4,20.126,23.218,3.092,21.2585,1.57967372273327,0.735588318561728,valid,valid_complete_cycle,segmented_records/1-11_preprocessed/1-11_preprocessed_rep04.csv
1-11_preprocessed,1,5,25.2005,28.11,2.9095,26.074,1.29764261633996,0.708276516553905,valid,valid_complete_cycle,segmented_records/1-11_preprocessed/1-11_preprocessed_rep05.csv
1-12_preprocessed,1,1,8.6025,12.265,3.6625,9.749,1.24646373382817,0.567736143733322,valid,valid_complete_cycle,segmented_records/1-12_preprocessed/1-12_preprocessed_rep01.csv
