record,label,rep_index,start_s,end_s,duration_s,peak_s,peak_env,mean_env,status,reason,segment_file
1-10_preprocessed,1,1,4.4755,8.619,4.1435,5.19,0.702428933184322,0.358192531635538,valid,valid_complete_cycle,segmented_records/1-10_preprocessed/1-10_preprocessed_rep01.csv
1-10_preprocessed,1,2,9.9185,14.581,4.6625,11.2815,1.25563459914051,0.489739499045995,valid,valid_complete_cycle,segmented_records/1-10_preprocessed/1-10_preprocessed_rep02.csv
1-10_preprocessed,1,3,14.9875,19.059,4.0715,16.393,1.3803417389997,0.549573341257149,valid,valid_complete_cycle,segmented_records/1-10_preprocessed/1-10_preprocessed_rep03.csv
1-10_preprocessed,1,4,19.4655,22.2025,2.737,20.761,1.42985358112771,0.730429403594828,valid,valid_complete_cycle,segmented_records/1-10_preprocessed/1-10_preprocessed_rep04.csv
1-10_preprocessed,1,5,22.203,26.9165,4.7135,25.7285,1.49988770222952,0.585424344004647,valid,valid_complete_cycle,segmented_records/1-10_preprocessed/1-10_preprocessed_rep05.csv
1-10_preprocessed,1,6,26.9745,29.3745,2.4,28.312,0.565080294063721,0.351210289296547,valid,valid_complete_cycle,segmented_records/1-10_preprocessed/1-10_preprocessed_rep06.csv
1-11_preprocessed,1,1,5.1735,8.3075,3.134,6.2655,1.02952529115146,0.549047176862958,valid,valid_complete_cycle,segmented_records/1-11_preprocessed/1-11_preprocessed_rep01.csv
1-11_preprocessed,1,2,10.2355,12.8885,2.653,11.1455,1.00968746084586,0.623234226489442,valid,valid_complete_cycle,segmented_records/1-11_preprocessed/1-11_preprocessed_rep02.csv
1-11_preprocessed,1,3,15.206,18.281,3.075,16.1425,1.22830317869082,0.620315549174378,valid,valid_complete_cycle,segmented_records/1-11_preprocessed/1-11_preprocessed_rep03.csv
1-11_preprocessed,1,4,20.126,23.218,3.092,21.2585,1.57967372273327,0.735588318561728,valid,valid_complete_cycle,segmented_records/1-11_preprocessed/1-11_preprocessed_rep04.csv
1-11_preprocessed,1,5,25.2005,28.11,2.9095,26.074,1.29764261633996,0.708276516553905,valid,valid_complete_cycle,segmented_records/1-11_preprocessed/1-11_preprocessed_rep05.csv
1-12_preprocessed,1,1,8.6025,12.265,3.6625,9.749,1.24646373382817,0.567736143733322,valid,valid_complete_cycle,segmented_records/1-12_preprocessed/1-12_preprocessed_rep01.csv
1-12_preprocessed,1,2,13.602,17.33,3.728,14.732,1.21916114563379,0.563728489984028,valid,valid_complete_cycle,segmented_records/1-12_preprocessed/1-12_preprocessed_rep02.csv
1-12_preprocessed,1,3,18.5915,21.7645,3.173,19.802,1.52806681612809,0.619239265223377,valid,valid_complete_cycle,segmented_records/1-12_preprocessed/1-12_preprocessed_rep03.csv
1-12_preprocessed,1,4,23.6155,26.52,2.9045,24.79,1.438830108491,0.686959103193768,valid,valid_complete_cycle,segmented_records/1-12_preprocessed/1-12_preprocessed_rep04.csv
1-12_preprocessed,1,5,28.7335,31.7235,2.99,29.665,1.46887801870417,0.727536362733989,valid,valid_complete_cycle,segmented_records/1-12_preprocessed/1-12_preprocessed_rep05.csv
1-12_preprocessed,1,6,33.739,34.484,0.745000000000005,34.484,0.854392692038937,0.50461348773978,rejected,record_ended_before_return_to_quiet,
1-13_preprocessed,1,1,4.679,8.931,4.252,6.0245,1.29509383418155,0.497443000461205,valid,valid_complete_cycle,segmented_records/1-13_preprocessed/1-13_preprocessed_rep01.csv
1-13_preprocessed,1,2,8.9315,12.688,3.7565,11.14,1.15689751148141,0.612118423443464,valid,valid_complete_cycle,segmented_records/1-13_preprocessed/1-13_preprocessed_rep02.csv
1-13_preprocessed,1,4,18.586,23.238,4.652,20.52,1.20256325023038,0.418701399487386,valid,valid_complete_cycle,segmented_records/1-13_preprocessed/1-13_preprocessed_rep04.csv
1-13_preprocessed,1,5,24.183,28.781,4.598,25.79,2.0864167695031,0.597720304584156,valid,valid_complete_cycle,segmented_records/1-13_preprocessed/1-13_preprocessed_rep05.csv
1-13_preprocessed,1,3,12.6885,18.5855,5.897,15.8205,1.1033612177606,0.509403899710181,rejected,too_long_or_multiple_cycles,
1-13_preprocessed,1,6,28.7815,30.706,1.9245,29.9155,0.967623850014013,0.549425892438754,rejected,record_ended_before_return_to_quiet,
1-14_preprocessed,1,1,4.4145,8.7975,4.383,5.793,1.33272757101334,0.653647950555371,valid,valid_with_elevated_boundary,segmented_records/1-14_preprocessed/1-14_preprocessed_rep01.csv
1-14_preprocessed,1,2,8.798,13.055,4.257,10.1575,1.06456849111844,0.574243604482613,valid,valid_with_elevated_boundary,segmented_records/1-14_preprocessed/1-14_preprocessed_rep02.csv
1-14_preprocessed,1,3,14.278,17.916,3.638,15.7795,1.3837300531972,0.609475418325021,valid,valid_with_elevated_boundary,segmented_records/1-14_preprocessed/1-14_preprocessed_rep03.csv
1-14_preprocessed,1,4,17.9165,23.1855,5.269,20.5955,1.59795640926798,0.527404955389272,valid,valid_with_elevated_boundary,segmented_records/1-14_preprocessed/1-14_preprocessed_rep04.csv
1-14_preprocessed,1,5,24.4755,27.8195,3.344,25.8295,1.625905151824,0.638125858923774,valid,valid_complete_cycle,segmented_records/1-14_preprocessed/1-14_preprocessed_rep05.csv
1-14_preprocessed,1,6,29.468,33.254,3.786,30.732,1.51131290369152,0.605005047984824,valid,valid_complete_cycle,segmented_records/1-14_preprocessed/1-14_preprocessed_rep06.csv
1-14_preprocessed,1,7,34.672,35.3105,0.638500000000001,35.1235,0.666715498840487,0.408672995074821,rejected,record_ended_before_return_to_quiet,
1-15_preprocessed,1,1,3.7255,7.9715,4.246,4.852,1.58505540523867,0.59097858514094,valid,valid_complete_cycle,segmented_records/1-15_preprocessed/1-15_preprocessed_rep01.csv
1-15_preprocessed,1,2,9.725,13.194,3.469,10.5425,1.23466570183501,0.61593833790707,valid,valid_complete_cycle,segmented_records/1-15_preprocessed/1-15_preprocessed_rep02.csv
1-15_preprocessed,1,3,14.709,18.4875,3.7785,15.2965,1.09828177463181,0.573855678167999,valid,valid_complete_cycle,segmented_records/1-15_preprocessed/1-15_preprocessed_rep03.csv
1-15_preprocessed,1,4,19.4955,23.1235,3.628,20.387,1.14781661141168,0.511990496924898,valid,valid_complete_cycle,segmented_records/1-15_preprocessed/1-15_preprocessed_rep04.csv
1-15_preprocessed,1,5,24.042,27.4255,3.3835,24.891,1.17573983283511,0.484777734189945,valid,valid_complete_cycle,segmented_records/1-15_preprocessed/1-15_preprocessed_rep05.csv
1-16_preprocessed,1,1,4.051,7.7725,3.7215,4.93,1.21615679339566,0.496085231491967,valid,valid_complete_cycle,segmented_records/1-16_preprocessed/1-16_preprocessed_rep01.csv
1-16_preprocessed,1,2,9.863,13.8185,3.9555,10.7015,1.52406485806861,0.62496889184927,valid,valid_complete_cycle,segmented_records/1-16_preprocessed/1-16_preprocessed_rep02.csv
1-16_preprocessed,1,3,15.071,18.4435,3.3725,15.7665,1.4720800900482,0.540678222097911,valid,valid_complete_cycle,segmented_records/1-16_preprocessed/1-16_preprocessed_rep03.csv
1-16_preprocessed,1,4,20.1135,23.6175,3.504,20.93,1.17967408190075,0.488216632562849,valid,valid_complete_cycle,segmented_records/1-16_preprocessed/1-16_preprocessed_rep04.csv
1-16_preprocessed,1,5,24.7015,28.05,3.3485,25.58,1.2479897048385,0.547351326089277,valid,valid_complete_cycle,segmented_records/1-16_preprocessed/1-16_preprocessed_rep05.csv
1-17_preprocessed,1,1,4.824,7.8625,3.0385,6.3815,1.51691635185565,0.639203408437019,valid,valid_complete_cycle,segmented_records/1-17_preprocessed/1-17_preprocessed_rep01.csv
1-17_preprocessed,1,2,10.1365,13.2835,3.147,11.7325,1.22996094106475,0.52119775047862,valid,valid_complete_cycle,segmented_records/1-17_preprocessed/1-17_preprocessed_rep02.csv
1-17_preprocessed,1,3,15.317,18.421,3.104,16.7715,1.76874272813754,0.634760463138843,valid,valid_complete_cycle,segmented_records/1-17_preprocessed/1-17_preprocessed_rep03.csv
1-17_preprocessed,1,4,20.2455,23.5855,3.34,21.7475,1.34320750968551,0.608038355192775,valid,valid_complete_cycle,segmented_records/1-17_preprocessed/1-17_preprocessed_rep04.csv
1-17_preprocessed,1,5,25.1745,28.6065,3.432,26.695,1.8921694043178,0.682298498882978,valid,valid_complete_cycle,segmented_records/1-17_preprocessed/1-17_preprocessed_rep05.csv
1-17_preprocessed,1,6,29.896,30.665,0.768999999999998,30.426,1.00627267306802,0.587369413299412,rejected,record_ended_before_return_to_quiet,
1-18_preprocessed,1,1,5.263,8.318,3.055,6.641,1.5342692329392,0.642770361500012,valid,valid_complete_cycle,segmented_records/1-18_preprocessed/1-18_preprocessed_rep01.csv
