record,label,duration_s,expected_count,valid_count,rejected_count,count_error,threshold,schedule_offset_s,fs
1-10_preprocessed,1,30.077,5,6,0,1,0.281549702081147,0.9,2000
1-11_preprocessed,1,30.0965,5,5,0,0,0.518724810159002,1.2,2000
1-12_preprocessed,1,34.484,5,5,1,0,0.286488477593006,4.7,2000
1-13_preprocessed,1,30.706,5,4,2,-1,0.249956745047915,0.8,2000
1-14_preprocessed,1,35.3105,5,6,1,1,0.257629792012375,0.6,2000
1-15_preprocessed,1,30.3205,5,5,0,0,0.298072456622379,0.2,2000
1-16_preprocessed,1,30.6855,5,5,0,0,0.307888365869752,0.6,2000
1-17_preprocessed,1,30.665,5,5,1,0,0.34365862510437,1.7,2000
1-18_preprocessed,1,30.31,5,5,0,0,0.316700730359278,1.7,2000
1-19_preprocessed,1,28.301,5,5,0,0,0.256827519615256,0.3,2000
1-1_preprocessed,1,36.734,5,6,1,1,0.325728007812373,2,2000
1-20_preprocessed,1,37.915,5,6,0,1,0.306528727119938,3.9,2000
1-21_preprocessed,1,30.6885,5,5,0,0,0.626336057371827,0.2,2000
1-22_preprocessed,1,31.107,5,5,0,0,0.279912950419335,0.9,2000
1-23_preprocessed,1,30.7055,5,5,0,0,0.302984028281524,0.8,2000
1-24_preprocessed,1,32.307,5,5,0,0,0.397598133694302,2,2000
1-25_preprocessed,1,31.078,5,5,0,0,0.29032067155687,1,2000
1-2_preprocessed,1,30.4785,5,5,1,0,0.343588752235321,1.2,2000
1-3_preprocessed,1,29.7055,5,5,1,0,0.274605292182139,1.2,2000
1-4_preprocessed,1,30.5195,5,5,1,0,0.280554880882823,1.7,2000
1-5_preprocessed,1,31.9275,5,5,0,0,0.258699324637025,2.6,2000
1-6_preprocessed,1,30.857,5,5,1,0,0.278535876725962,0.8,2000
1-7_preprocessed,1,30.883,5,5,1,0,0.257652934716067,0.7,2000
1-8_preprocessed,1,31.466,5,5,1,0,0.263656345211678,0.4,2000
1-9_preprocessed,1,30.2935,5,5,1,0,0.244586411832753,0.8,2000
2-10_preprocessed,2,30.691,5,5,0,0,0.305540815168653,1.3,2000
2-11_preprocessed,2,31.4725,5,5,0,0,0.311007921549585,1.8,2000
2-12_preprocessed,2,33.099,5,5,0,0,0.352888387987653,3.5,2000
2-13_preprocessed,2,32.485,5,5,1,0,0.242594263967314,1.9,2000
2-14_preprocessed,2,30.481,5,5,1,0,0.272424936373523,0.6,2000
2-15_preprocessed,2,31.766,5,5,0,0,0.284405708686298,1.4,2000
2-16_preprocessed,2,31.878,5,5,0,0,0.281921475363742,2.2,2000
2-17_preprocessed,2,31.5045,5,5,0,0,0.286487389508617,2.3,2000
2-18_preprocessed,2,32.307,5,5,0,0,0.300068111296227,2.1,2000
