record,label,rep_index,start_s,end_s,duration_s,peak_s,peak_env,mean_env,status,reason,segment_file
1-10_preprocessed,1,1,4.4805,8.598,4.1175,5.648,0.721586540745051,0.380939912503806,valid,valid_complete_cycle,segmented_records/1-10_preprocessed/1-10_preprocessed_rep01.csv
1-10_preprocessed,1,2,9.929,14.558,4.629,11.2765,1.27816442540322,0.49471463897262,valid,valid_complete_cycle,segmented_records/1-10_preprocessed/1-10_preprocessed_rep02.csv
1-10_preprocessed,1,3,14.991,19.031,4.04,16.382,1.44708240662691,0.558854508920651,valid,valid_complete_cycle,segmented_records/1-10_preprocessed/1-10_preprocessed_rep03.csv
1-10_preprocessed,1,4,19.4715,29.3595,9.888,25.73,1.46785366033463,0.560636194302126,rejected,too_long_or_multiple_cycles,
1-11_preprocessed,1,1,1.702,3.7095,2.0075,3.0845,0.540980994100267,0.283273713343237,valid,valid_complete_cycle,segmented_records/1-11_preprocessed/1-11_preprocessed_rep01.csv
1-11_preprocessed,1,2,5.1025,9.3865,4.284,6.2625,1.05702417120359,0.456060528403571,valid,valid_complete_cycle,segmented_records/1-11_preprocessed/1-11_preprocessed_rep02.csv
1-11_preprocessed,1,3,10.084,12.9895,2.9055,11.145,1.06175434723711,0.581081851817513,valid,valid_complete_cycle,segmented_records/1-11_preprocessed/1-11_preprocessed_rep03.csv
1-11_preprocessed,1,4,15.1195,18.6675,3.548,16.139,1.26937505182209,0.553307542294595,valid,valid_complete_cycle,segmented_records/1-11_preprocessed/1-11_preprocessed_rep04.csv
1-11_preprocessed,1,5,20.011,23.3825,3.3715,21.2715,1.58378365305185,0.669082738839554,valid,valid_complete_cycle,segmented_records/1-11_preprocessed/1-11_preprocessed_rep05.csv
1-11_preprocessed,1,6,25.1435,28.3,3.1565,26.0945,1.2704847206598,0.63731100169957,valid,valid_complete_cycle,segmented_records/1-11_preprocessed/1-11_preprocessed_rep06.csv
1-12_preprocessed,1,1,8.612,12.2535,3.6415,10.084,1.28587635190802,0.574827096163271,valid,valid_complete_cycle,segmented_records/1-12_preprocessed/1-12_preprocessed_rep01.csv
1-12_preprocessed,1,2,13.608,17.2825,3.6745,15.027,1.2347950360409,0.57267732961921,valid,valid_complete_cycle,segmented_records/1-12_preprocessed/1-12_preprocessed_rep02.csv
1-12_preprocessed,1,3,18.581,21.778,3.197,19.8015,1.60434805877256,0.619060628753547,valid,valid_complete_cycle,segmented_records/1-12_preprocessed/1-12_preprocessed_rep03.csv
1-12_preprocessed,1,4,23.621,26.51,2.889,24.789,1.48806713406776,0.687218634992195,valid,valid_complete_cycle,segmented_records/1-12_preprocessed/1-12_preprocessed_rep04.csv
1-12_preprocessed,1,5,28.7375,31.722,2.9845,29.6755,1.48434002771858,0.725128274437209,valid,valid_complete_cycle,segmented_records/1-12_preprocessed/1-12_preprocessed_rep05.csv
1-12_preprocessed,1,6,33.7415,34.484,0.7425,34.484,0.834552421583731,0.481588434201847,rejected,record_ended_before_return_to_quiet,
1-13_preprocessed,1,1,4.674,23.244,18.57,6.028,1.23638812466652,0.506758429778679,rejected,too_long_or_multiple_cycles,
1-13_preprocessed,1,2,24.152,30.4575,6.3055,25.799,1.93047762437523,0.566754653305921,rejected,too_long_or_multiple_cycles,
1-14_preprocessed,1,3,24.4795,27.801,3.3215,25.8165,1.59424444003384,0.634811884836327,valid,valid_complete_cycle,segmented_records/1-14_preprocessed/1-14_preprocessed_rep03.csv
1-14_preprocessed,1,4,29.476,33.238,3.762,30.7315,1.56134445530372,0.604322772522245,valid,valid_complete_cycle,segmented_records/1-14_preprocessed/1-14_preprocessed_rep04.csv
1-14_preprocessed,1,1,4.417,13.009,8.592,5.7865,1.31493036799876,0.62020658128508,rejected,too_long_or_multiple_cycles,
1-14_preprocessed,1,2,14.2825,23.196,8.9135,20.5945,1.63571865582316,0.563094496190195,rejected,too_long_or_multiple_cycles,
1-14_preprocessed,1,5,34.678,35.3105,0.6325,35.126,0.672708964905658,0.406569973066489,rejected,record_ended_before_return_to_quiet,
1-15_preprocessed,1,1,3.715,7.9775,4.2625,4.8505,1.57368666397329,0.585198227541492,valid,valid_complete_cycle,segmented_records/1-15_preprocessed/1-15_preprocessed_rep01.csv
1-15_preprocessed,1,2,9.7195,13.1935,3.474,10.6905,1.25569954083071,0.612845385440137,valid,valid_complete_cycle,segmented_records/1-15_preprocessed/1-15_preprocessed_rep02.csv
1-15_preprocessed,1,3,14.6995,18.52,3.8205,15.5335,1.085425669714,0.57163873824102,valid,valid_complete_cycle,segmented_records/1-15_preprocessed/1-15_preprocessed_rep03.csv
1-15_preprocessed,1,4,19.5035,23.128,3.6245,20.4205,1.13719476964922,0.509705837023721,valid,valid_complete_cycle,segmented_records/1-15_preprocessed/1-15_preprocessed_rep04.csv
1-15_preprocessed,1,5,24.0455,27.424,3.3785,24.9,1.14326875286242,0.4803368815097,valid,valid_complete_cycle,segmented_records/1-15_preprocessed/1-15_preprocessed_rep05.csv
1-16_preprocessed,1,1,4.0365,7.872,3.8355,4.937,1.27779904780627,0.493430694235772,valid,valid_complete_cycle,segmented_records/1-16_preprocessed/1-16_preprocessed_rep01.csv
1-16_preprocessed,1,2,9.827,13.82,3.993,10.715,1.51566962864838,0.618866522341004,valid,valid_complete_cycle,segmented_records/1-16_preprocessed/1-16_preprocessed_rep02.csv
1-16_preprocessed,1,3,15.065,18.575,3.51,15.7915,1.46042932043418,0.516233631689122,valid,valid_complete_cycle,segmented_records/1-16_preprocessed/1-16_preprocessed_rep03.csv
1-16_preprocessed,1,4,20.1085,21.9275,1.819,21.004,1.20469016673337,0.554458395504296,valid,valid_complete_cycle,segmented_records/1-16_preprocessed/1-16_preprocessed_rep04.csv
1-16_preprocessed,1,5,21.945,23.6435,1.6985,22.689,0.903118090904154,0.40318724877763,valid,valid_complete_cycle,segmented_records/1-16_preprocessed/1-16_preprocessed_rep05.csv
1-16_preprocessed,1,6,24.691,28.34,3.649,25.5805,1.2636963893631,0.511421277884094,valid,valid_complete_cycle,segmented_records/1-16_preprocessed/1-16_preprocessed_rep06.csv
1-17_preprocessed,1,1,4.74,8.445,3.705,6.3855,1.59894780552798,0.554081201636273,valid,valid_complete_cycle,segmented_records/1-17_preprocessed/1-17_preprocessed_rep01.csv
1-17_preprocessed,1,2,10.087,13.625,3.538,11.743,1.31473130049589,0.501963866276373,valid,valid_complete_cycle,segmented_records/1-17_preprocessed/1-17_preprocessed_rep02.csv
1-17_preprocessed,1,3,15.2805,18.5825,3.302,16.777,1.80152842185263,0.613430995262661,valid,valid_complete_cycle,segmented_records/1-17_preprocessed/1-17_preprocessed_rep03.csv
1-17_preprocessed,1,4,20.1585,23.612,3.4535,21.7465,1.42691960884185,0.589630019861775,valid,valid_complete_cycle,segmented_records/1-17_preprocessed/1-17_preprocessed_rep04.csv
1-17_preprocessed,1,5,25.145,28.6815,3.5365,26.6855,1.92219889997355,0.666661224298061,valid,valid_complete_cycle,segmented_records/1-17_preprocessed/1-17_preprocessed_rep05.csv
1-17_preprocessed,1,6,29.8065,30.665,0.858499999999999,30.4295,0.94202248536505,0.496545328947791,rejected,record_ended_before_return_to_quiet,
