record,label,duration_s,total_count,detected_count,nonstandard_reject_count,threshold,schedule_offset_s,fs
1-10_preprocessed,1,30.077,4,3,1,0.285494534659011,NaN,2000
1-11_preprocessed,1,30.0965,6,5,1,0.273495733972522,NaN,2000
1-12_preprocessed,1,34.484,6,5,1,0.286239860693507,NaN,2000
1-13_preprocessed,1,30.706,2,0,2,0.244160978327458,NaN,2000
1-14_preprocessed,1,35.3105,5,2,3,0.252996672879017,NaN,2000
1-15_preprocessed,1,30.3205,5,5,0,0.285331619091456,NaN,2000
1-16_preprocessed,1,30.6855,6,4,2,0.281678313956887,NaN,2000
1-17_preprocessed,1,30.665,6,5,1,0.27181392137549,NaN,2000
1-18_preprocessed,1,30.31,5,5,0,0.276622338977662,NaN,2000
1-19_preprocessed,1,28.301,5,5,0,0.261127704111962,NaN,2000
1-1_preprocessed,1,36.734,10,4,6,0.292649977334863,NaN,2000
1-20_preprocessed,1,37.915,6,6,0,0.288763277273977,NaN,2000
1-21_preprocessed,1,30.6885,6,4,2,0.267880057772319,NaN,2000
1-22_preprocessed,1,31.107,5,5,0,0.285845029211464,NaN,2000
1-23_preprocessed,1,30.7055,5,5,0,0.293931896357458,NaN,2000
1-24_preprocessed,1,32.307,11,5,6,0.284410398446462,NaN,2000
1-25_preprocessed,1,31.078,6,4,2,0.271877023253792,NaN,2000
1-2_preprocessed,1,30.4785,8,5,3,0.263091632899517,NaN,2000
1-3_preprocessed,1,29.7055,4,3,1,0.269140387720178,NaN,2000
1-4_preprocessed,1,30.5195,5,5,0,0.270486676441688,NaN,2000
1-5_preprocessed,1,31.9275,3,2,1,0.259388179068634,NaN,2000
1-6_preprocessed,1,30.857,7,5,2,0.285163419889749,NaN,2000
1-7_preprocessed,1,30.883,6,5,1,0.25696786432734,NaN,2000
1-8_preprocessed,1,31.466,6,5,1,0.260743986446375,NaN,2000
1-9_preprocessed,1,30.2935,4,2,2,0.24626867155328,NaN,2000
2-10_preprocessed,2,30.691,5,5,0,0.304621211758762,NaN,2000
2-11_preprocessed,2,31.4725,6,5,1,0.291008099294565,NaN,2000
2-12_preprocessed,2,33.099,6,5,1,0.315079326072181,NaN,2000
2-13_preprocessed,2,32.485,5,2,3,0.24967315310793,NaN,2000
2-14_preprocessed,2,30.481,5,4,1,0.272796807413336,NaN,2000
2-15_preprocessed,2,31.766,5,5,0,0.285715904955136,NaN,2000
2-16_preprocessed,2,31.878,5,5,0,0.286582296593537,NaN,2000
2-17_preprocessed,2,31.5045,6,5,1,0.282893159485148,NaN,2000
2-18_preprocessed,2,32.307,5,3,2,0.288925696526987,NaN,2000
2-19_preprocessed,2,31.6965,5,5,0,0.295828620335456,NaN,2000
2-1_preprocessed,2,25.4475,5,5,0,0.294995851886076,NaN,2000
2-20_preprocessed,2,32.098,5,5,0,0.291668482988685,NaN,2000
2-21_preprocessed,2,33.1055,5,5,0,0.30890622929445,NaN,2000
2-22_preprocessed,2,32.2795,6,5,1,0.295673880098195,NaN,2000
2-23_preprocessed,2,31.877,7,5,2,0.311969716327182,NaN,2000
2-24_preprocessed,2,30.878,6,5,1,0.282946808719943,NaN,2000
2-25_preprocessed,2,31.0785,7,5,2,0.285120535024189,NaN,2000
2-2_preprocessed,2,36.3285,3,1,2,0.288119309539783,NaN,2000
2-3_preprocessed,2,25.6525,4,3,1,0.263346282168235,NaN,2000
2-4_preprocessed,2,30.0945,5,5,0,0.287445884996414,NaN,2000
2-5_preprocessed,2,26.4635,5,5,0,0.293147095403905,NaN,2000
2-6_preprocessed,2,31.4865,6,5,1,0.307612945335211,NaN,2000
2-7_preprocessed,2,29.29,5,5,0,0.292017532529251,NaN,2000
2-8_preprocessed,2,30.298,8,4,4,0.280088435009963,NaN,2000
2-9_preprocessed,2,31.268,9,3,6,0.276096479257794,NaN,2000
3-10_preprocessed,3,30.0855,6,5,1,0.272996844189683,NaN,2000
3-11_preprocessed,3,30.701,7,5,2,0.280445087973632,NaN,2000
3-12_preprocessed,3,30.491,6,5,1,0.279544265808267,NaN,2000
3-13_preprocessed,3,32.2965,6,5,1,0.258714926552579,NaN,2000
3-14_preprocessed,3,30.899,7,5,2,0.294844854281513,NaN,2000
3-15_preprocessed,3,32.3095,5,5,0,0.284216766152724,NaN,2000
3-16_preprocessed,3,21.2545,8,4,4,0.362039195215085,NaN,2000
3-17_preprocessed,3,30.667,2,1,1,0.267279475225902,NaN,2000
3-18_preprocessed,3,31.4965,5,5,0,0.286138259133777,NaN,2000
3-19_preprocessed,3,33.3285,6,5,1,0.282839528219981,NaN,2000
3-1_preprocessed,3,34.454,6,6,0,0.271581106050393,NaN,2000
3-20_preprocessed,3,31.692,5,5,0,0.287937056780958,NaN,2000
3-21_preprocessed,3,32.3035,5,5,0,0.292747176064571,NaN,2000
3-22_preprocessed,3,32.306,6,5,1,0.285015032078512,NaN,2000
3-23_preprocessed,3,34.7,5,5,0,0.289758848603062,NaN,2000
3-24_preprocessed,3,32.3055,5,5,0,0.290178014083851,NaN,2000
3-25_preprocessed,3,31.2885,5,5,0,0.296072815534566,NaN,2000
3-2_preprocessed,3,27.0805,5,5,0,0.280434890490758,NaN,2000
3-3_preprocessed,3,26.884,5,5,0,0.268800405749003,NaN,2000
3-4_preprocessed,3,34.2815,5,5,0,0.281709773636887,NaN,2000
3-5_preprocessed,3,29.2655,5,5,0,0.278188762624229,NaN,2000
3-6_preprocessed,3,29.0685,5,5,0,0.277577236772998,NaN,2000
3-7_preprocessed,3,29.651,5,5,0,0.275716323382098,NaN,2000
3-8_preprocessed,3,35.107,7,5,2,0.265979464935907,NaN,2000
3-9_preprocessed,3,32.069,5,5,0,0.275346706820983,NaN,2000
